,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,No,0,Graduate,No,5849,0.0,146.41216216216216,360.0,1.0,Urban,1
1,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0
2,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1
3,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1
4,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1
5,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1
6,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1
7,Yes,3,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0
8,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1
9,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0
10,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,1
11,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,1
12,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1
13,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0
14,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1
15,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1
16,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,1
17,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0
18,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,0
19,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,1
20,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0
21,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,1
22,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0
23,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,0
