,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
333,Yes,0,Graduate,No,63337,0,490,180,1,Urban,1
171,Yes,3,Graduate,No,51763,0,700,300,1,Urban,1
155,Yes,3,Graduate,No,39999,0,600,180,0,Semiurban,1
185,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,1
443,No,1,Graduate,No,37719,0,152,360,1,Semiurban,1
126,Yes,3,Graduate,No,23803,0,370,360,1,Rural,1
506,Yes,0,Graduate,No,20833,6667,480,360,1,Urban,1
130,No,0,Graduate,Yes,20166,0,650,480,1,Urban,1
561,Yes,1,Graduate,Yes,19484,0,600,360,1,Semiurban,1
534,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,1
525,Yes,2,Graduate,Yes,17500,0,400,360,1,Rural,1
493,No,0,Not Graduate,Yes,17263,0,225,360,1,Semiurban,1
467,Yes,0,Graduate,No,16692,0,110,360,1,Semiurban,1
478,Yes,1,Graduate,Yes,16667,2250,86,360,1,Semiurban,1
572,Yes,2,Graduate,No,16666,0,275,360,1,Urban,1
475,Yes,2,Graduate,Yes,16525,1014,150,360,1,Rural,1
594,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,1
370,No,0,Graduate,Yes,15759,0,55,360,1,Semiurban,1
324,Yes,3,Graduate,No,15000,0,300,360,1,Rural,1
424,Yes,0,Graduate,No,14880,0,96,360,1,Semiurban,1
146,Yes,2,Graduate,No,14866,0,70,360,1,Urban,1
115,Yes,1,Graduate,No,14583,0,185,180,1,Rural,1
278,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,1
102,Yes,0,Graduate,No,13650,0,146.4121622,360,1,Urban,1
509,No,1,Graduate,No,13262,0,40,360,1,Urban,1
432,No,0,Graduate,No,12876,0,405,360,1,Semiurban,1
604,Yes,1,Graduate,No,12000,0,496,360,1,Semiurban,1
144,Yes,2,Graduate,No,11757,0,187,180,1,Urban,1
106,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,1
271,Yes,0,Graduate,No,11146,0,136,360,1,Urban,1
483,Yes,0,Graduate,No,10833,0,234,360,1,Semiurban,1
67,Yes,1,Graduate,No,10750,0,312,360,1,Urban,1
128,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,0
438,No,0,Graduate,Yes,10416,0,187,360,0,Urban,0
119,No,0,Graduate,No,10408,0,259,360,1,Urban,1
557,Yes,3,Graduate,Yes,10139,0,260,360,1,Semiurban,1
435,No,0,Graduate,No,10047,0,146.4121622,240,1,Semiurban,1
148,No,0,Graduate,No,10000,1666,225,360,1,Rural,0
210,No,0,Graduate,No,10000,0,214,360,1,Semiurban,0
319,Yes,1,Graduate,Yes,10000,0,155,360,1,Rural,0
598,Yes,0,Graduate,Yes,9963,0,180,360,1,Rural,1
334,Yes,1,Graduate,Yes,9833,1833,182,180,1,Urban,1
246,Yes,2,Graduate,No,9703,0,112,360,1,Urban,1
25,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,1
157,Yes,1,Graduate,No,9538,0,187,360,1,Urban,1
289,No,0,Graduate,No,9508,0,187,360,1,Rural,1
391,Yes,3,Graduate,No,9504,0,275,360,1,Rural,1
592,No,3,Graduate,Yes,9357,0,292,360,1,Semiurban,1
189,Yes,0,Graduate,No,9328,0,188,180,1,Rural,1
164,Yes,0,Graduate,No,9323,0,75,180,1,Urban,1
372,Yes,2,Graduate,Yes,9323,7873,380,300,1,Rural,1
390,No,3,Graduate,No,9167,0,185,360,1,Rural,1
152,No,0,Graduate,No,9166,0,244,360,1,Urban,0
350,Yes,0,Graduate,No,9083,0,228,360,1,Semiurban,1
564,Yes,2,Graduate,No,8799,0,258,360,0,Urban,0
351,No,0,Graduate,No,8750,4167,308,360,1,Rural,0
376,Yes,3,Graduate,No,8750,4996,130,360,1,Rural,1
325,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,0
430,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,1
88,No,0,Graduate,No,8566,0,210,360,1,Urban,1
459,Yes,0,Graduate,No,8334,0,160,360,1,Semiurban,0
196,No,0,Graduate,No,8333,3750,187,360,1,Rural,1
233,No,0,Graduate,No,8333,0,280,360,1,Semiurban,1
356,Yes,2,Graduate,No,8333,3167,165,360,1,Rural,1
484,Yes,2,Graduate,No,8333,0,246,360,1,Semiurban,1
408,Yes,1,Graduate,No,8300,0,152,300,0,Semiurban,0
58,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,1
611,Yes,1,Graduate,No,8072,240,253,360,1,Urban,1
169,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,1
523,Yes,2,Graduate,Yes,7948,7166,480,360,1,Rural,1
161,Yes,0,Graduate,No,7933,0,275,360,1,Urban,0
441,Yes,0,Graduate,No,7901,1833,180,360,1,Rural,1
212,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,1
